Event_ID,Date_Event_Began,Time_Event_Began,Date_of_Restoration,Time_of_Restoration,Area_Affected,NERC_Region,Alert_Criteria,Event_Type,Demand_Loss_MW,Number_of_Customers_Affected,Category
286,4/22/2021,5:15:00,,,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,0,0,Fuel Supply Deficiency
287,5/20/2021,7:25:00,,7:26:00,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Physical Attack
288,5/27/2021,18:51:00,,15:56:00,California: Nevada:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0,Transmission Interruption
289,5/28/2021,20:00:00,,21:29:00,California: Riverside County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,655,Physical Attack
290,6/19/2021,18:54:00,,21:01:00,California: Alameda County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",System Operations,93,51806,Operations
291,6/24/2021,3:34:00,,5:07:00,California: Plumas County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Transmission Interruption,36,7621,Transmission Interruption
292,7/9/2021,17:44:00,,21:05:00,California:,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Fuel Supply Deficiency,810,,Fuel Supply Deficiency
293,7/9/2021,20:25:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,230,47000,Weather
294,7/14/2021,14:15:00,,14:16:00,California: Plumas County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather/Transmisison Interruption,35,11000,Weather
295,7/22/2021,14:00:00,,14:40:00,California: Shasta County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,220,0,Operations
296,8/1/2021,23:37:00,,0:00:00,"California: Humboldt County, Trinity County;",WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,95,65888,Weather
297,8/15/2021,17:17:00,,3:30:00,California: Solano County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,0,0,Physical Attack
298,8/17/2021,14:00:00,,14:00:00,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,,0,Physical Attack
299,8/17/2021,19:15:00,,17:45:00,"California: Butte County, Colusa County, Glenn County, Lake County, Lassen County, Mendocino County, Napa County, Plumas County, Shasta County, Sierra County, Solano County, Sonoma County, Tehama County, Trinity County, Yolo County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,234,71000,Weather
300,8/20/2021,15:35:00,,16:35:00,California: Nevada County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
301,9/1/2021,6:22:00,,15:56:00,California: Santa Clara County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
302,9/9/2021,16:00:00,,17:30:00,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
303,9/10/2021,7:20:00,,9:05:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,89,59649,Weather
304,9/11/2021,8:32:00,,,Texas: Austin County; California: Los Angeles County;,TRE/SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack,0,0,Physical Attack
305,9/22/2021,9:36:00,,11:45:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,Physical Attack
306,10/5/2021,11:31:00,,11:32:00,California: Santa Clara County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
307,10/5/2021,11:31:00,,11:32:00,California: Santa Clara County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
308,10/8/2021,6:30:00,,10:00:00,California: Contra Costa County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
309,10/11/2021,14:22:00,,20:30:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,126,84000,Weather
310,10/24/2021,8:55:00,,18:15:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,116,59000,Weather
311,10/31/2021,7:49:00,,9:32:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
312,11/16/2021,0:42:00,,7:35:00,California: Los Angeles County;,WECC,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency.",Suspicious Activity,0,0,Physical Attack
313,11/24/2021,10:00:00,,10:21:00,"California: Riverside County, Ventura County, San Bernardino County, Orange County, Los Angeles County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,81406,Weather
314,11/30/2021,13:47:00,,14:21:00,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,10,6000,Operations
315,12/14/2021,7:28:00,,13:43:00,California: Humboldt County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,120,65994,Weather
316,12/18/2021,13:04:00,,21:59:00,California:,WECC,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations,Suspicious Activity,10,11770,Physical Attack
317,12/27/2021,21:01:00,,9:11:00,California: Humboldt County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,120,65994,Operations
318,12/27/2021,4:11:00,,2:41:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,381,115830,Weather
319,1/2/2022,13:21:00,,17:38:00,California: Tuolumne County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Severe Weather,3,1706,Weather
320,2/1/2022,12:13:00,,12:25:00,California: Yuba County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,10,8124,Operations
321,2/12/2022,16:29:00,,16:30:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,,,Physical Attack
322,2/24/2022,1:09:00,,2:59:00,"California: San Bernardino County, Kern County, Solano County, San Diego County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,246,0,Operations
323,2/25/2022,9:31:00,,13:09:00,Texas: Travis County; California: San Diego County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Operations
324,3/15/2022,18:53:00,,20:33:00,California: Lake County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,10,3958,Physical Attack
325,3/16/2022,11:28:00,,11:29:00,California: Sacramento County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
326,3/29/2022,11:45:00,,,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
327,4/11/2022,21:37:00,,22:14:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,2,1337,Physical Attack
328,4/14/2022,5:59:00,,6:13:00,California: Los Angeles County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,164,262268,Transmission Interruption
329,4/16/2022,17:44:00,,,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,9290,,Operations
330,4/16/2022,5:30:00,,11:38:00,California: Shasta County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Operations
331,4/26/2022,8:54:00,,8:55:00,California: Sacramento County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
332,4/29/2022,7:05:00,,7:06:00,California:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
333,5/2/2022,14:24:00,,14:25:00,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,,0,Physical Attack
334,5/16/2022,5:00:00,,5:01:00,"California: Solano County, Santa Clara County;",WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
335,5/25/2022,6:42:00,,6:43:00,California: Siskiyou County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,Physical Attack
336,5/27/2022,7:56:00,,8:38:00,Arizona: California: Nevada: New Mexico:,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Operations
337,5/30/2022,14:10:00,,5:58:00,California: San Diego County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Operations
338,6/1/2022,10:47:00,,10:48:00,Utah: California: Oregon: Umatilla County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
339,6/2/2022,8:20:00,,,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
340,6/5/2022,15:20:00,,20:12:00,California:,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational polic,Generation Inadequacy,,,Generation Interruption
341,6/6/2022,10:21:00,,10:24:00,California: Shasta County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,13,4000,Operations
342,6/10/2022,20:27:00,,21:30:00,California: Kern County;,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational polic,System Operations,100,39094,Operations
343,6/10/2022,20:20:00,,20:28:00,California: Kern County;,WECC,Firm load shedding of 100 Megawatts or more implemented under emergency operational polic,System Operations,100,,Operations
344,6/10/2022,8:45:00,,,California:,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,13437,445,Operations
345,6/23/2022,10:55:00,,,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,Fuel Supply Deficiency,0,0,Fuel Supply Deficiency
346,7/1/2022,11:45:00,,,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,20,0,Physical Attack
347,7/3/2022,10:30:00,,10:40:00,California: Contra Costa County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
348,7/3/2022,11:02:00,,,California: Kern County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,,1079,Physical Attack
349,7/4/2022,18:21:00,,,California: Amador County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,System Operations,3,3001,Physical Attack
350,7/6/2022,12:40:00,,12:41:00,Utah: California: Oregon: Douglas County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
351,7/11/2022,10:20:00,,,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,Physical Attack
352,7/26/2022,4:20:00,,4:57:00,California: Santa Barbara County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,,,Physical Attack
353,7/28/2022,19:25:00,,22:41:00,California: Placer County;,WECC,"Damage or destruction of its Facility that results from actual or suspected intentional human action. Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack,0,0,Physical Attack
354,7/30/2022,19:35:00,,13:17:00,California: Shasta County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0,Operations
355,8/1/2022,8:03:00,,9:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack,0,0,Physical Attack
356,8/22/2022,9:47:00,,9:48:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
357,8/24/2022,14:20:00,,14:21:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
358,8/25/2022,0:59:00,,1:00:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
359,8/25/2022,0:59:00,,1:00:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
360,8/26/2022,11:09:00,,11:10:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
361,9/1/2022,15:00:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,242,44000,Weather
362,9/4/2022,18:50:00,,2:45:00,California: Kings County;,WECC,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0,Cyber Attack
363,9/5/2022,6:05:00,,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,,0,Public Appeal
364,9/6/2022,16:30:00,,0:30:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
365,9/6/2022,10:34:00,,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,,0,Public Appeal
366,9/6/2022,16:00:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,272,44000,Weather
367,9/7/2022,13:00:00,,,California: Imperial County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0,Physical Attack
368,9/7/2022,11:31:00,,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,,0,Public Appeal
369,9/7/2022,16:00:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,257,44000,Weather
370,9/8/2022,10:52:00,,21:00:00,California: Sacramento County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,System Operations,,0,Public Appeal
371,9/8/2022,11:54:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,258,44000,Weather
372,9/9/2022,16:00:00,,21:00:00,California: Shasta County;,WECC,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System,Severe Weather,257,44000,Weather
373,9/22/2022,10:02:00,,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,Physical Attack
374,9/23/2022,10:10:00,,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,Physical Attack
375,9/27/2022,8:42:00,,10:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,Physical Attack
376,9/30/2022,11:00:00,,12:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,Physical Attack
377,10/3/2022,13:45:00,,14:30:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,Physical Attack
378,10/13/2022,10:00:00,,11:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1,0,Physical Attack
379,10/21/2022,11:15:00,,11:18:00,California: Trinity County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious activity,0,0,Physical Attack
380,10/28/2022,14:16:00,,15:00:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,2,0,Physical Attack
381,11/11/2022,1:00:00,,5:00:00,California: San Bernardino County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,,,Physical Attack
382,11/25/2022,5:00:00,,8:00:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0,Physical Attack
383,12/6/2022,9:25:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,Physical Attack
384,12/27/2022,13:30:00,,21:16:00,California: San Diego County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
385,12/27/2022,7:07:00,,11:10:00,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
386,12/27/2022,7:20:00,,11:22:00,California: Sacramento County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Physical Attack
387,12/31/2022,19:00:00,,6:00:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,,161000,Weather
388,1/1/2023,0:06:00,,3:57:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
389,1/1/2023,9:55:00,,10:30:00,California: Sacramento County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Operations
390,1/7/2023,22:00:00,,21:00:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,458,185434,Weather
391,1/12/2023,10:00:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,Physical Attack
392,1/23/2023,17:00:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
393,1/23/2023,9:21:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
394,2/13/2023,21:50:00,,2:24:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0,Physical Attack
395,2/19/2023,8:18:00,,12:15:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
396,2/25/2023,0:08:00,,18:08:00,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,153555,Weather
397,3/26/2023,12:52:00,,13:54:00,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,34,,
